name;age;country;building_code;phone;address
Kayla;52;Peru;469;6478219750;Kobe
Melanie;6;Slovakia;578;3520869451;Asunción
Shel;14;Bahrain;406;4068505711;City of Halifax
Sheree;7;Tunisia;978;3212285164;Dalian
Bertine;12;Angola;792;4342370082;Kolkata
Natka;12;Mauritius;706;8575126081;Singapore
Mady;19;Bahamas;247;7591891202;Macau
Jessamyn;54;Trinidad and Tobago;978;8003813947;Riyadh
Brooks;19;Aruba;489;8344878863;Campo Grande
Dotty;20;Cape Verde;501;6320916122;Surat
Raf;51;Uzbekistan;461;4656789646;Espoo
Catharine;10;Malawi;520;6132495299;Ambon
Janeczka;49;Estonia;97;9130913422;The Valley
Hermione;53;French Guiana;851;8725845539;Shenyang
Almeta;12;Eritrea;435;5934970696;Perth
Peri;51;Gambia;87;2306408224;Ndola
Doro;16;Guinea-Bissau;562;4192408025;Conakry
Maisey;31;Congo, The Democratic Republic of the;957;7259530243;Rochester
Zia;19;Marshall Islands;124;1513413341;Wonsan
Zondra;3;Cambodia;8;6325307568;Sacramento
Sheree;1;Falkland Islands (Malvinas);652;1945701478;Zhengzhou
Livvyy;34;Iran, Islamic Republic Of;963;5907031998;Oslo
Meghann;22;AndorrA;281;2743301620;Bissau
Rubie;12;Saint Lucia;13;1878890488;Beijing
Laure;56;Central African Republic;962;4042105469;City of Halifax
Emma;40;Jamaica;735;5649376982;Road Town
Dode;37;Australia;992;4395515465;Panama City
Rosaline;60;Guinea-Bissau;709;6292953664;Rochester
Gertrud;15;Trinidad and Tobago;131;0862633847;San José
Aubrie;9;Marshall Islands;352;3985699871;Chittagong
Brynna;60;Saudi Arabia;805;0824630381;Buenos Aires
Julieta;37;RWANDA;425;2946079541;Puerto Williams
Mary;35;Thailand;852;7034352604;Lisbon
Berget;12;Jersey;574;8063445704;Thiès
Claresta;60;Switzerland;73;9097532712;San Fernando
Ginnie;40;France;565;2425857982;Iloilo City
Marguerite;58;Slovenia;284;5222817492;Macau
Madalyn;36;Canada;653;9420933188;Cannes
Ruthe;12;France;539;4164041935;Bratsk
Kellen;20;Uruguay;975;1604923564;Dongguan
Glynnis;55;Finland;349;1602910223;Chennai
Inga;19;Aruba;528;5017785479;Tbilisi
Reeba;42;Oman;68;5356010327;Port Louis
Gwyneth;34;Panama;594;6037998177;Casablanca
Anallese;18;Gabon;997;2548601525;Maracaibo
Joane;44;Marshall Islands;577;9580709504;Hanga Roa
Chloris;34;Liberia;181;9353030182;Majuro
Cristine;17;Guyana;45;1758004725;Milwaukee
Nicoli;20;"Cote D""Ivoire";274;7889247149;Davao City
Lisette;35;Colombia;493;7704830074;Daegu
Nyssa;44;Egypt;651;1813219704;Nassau
Carly;52;Uzbekistan;908;0366590525;Rosario
Lorie;30;Yemen;779;3770458313;Prague
Georgina;40;Mali;660;3941803039;Mérida
Gusty;55;Micronesia, Federated States of;424;4331581520;Hiroshima
Jeanna;58;Sweden;520;3629072149;Praia
Kristina;43;Slovakia;366;2297992161;New Delhi
Shaine;1;Mauritius;56;5933899273;Lanzhou
Lulita;4;Lesotho;290;2259450369;El Aaiún
Tabbatha;39;Pakistan;886;7679296915;Tagbilaran
Mariele;2;Saudi Arabia;4;5265176872;Brikama
Bobbi;37;Bosnia and Herzegovina;200;2179999002;Tegucigalpa
Felice;7;Fiji;663;8347240191;Skopje
Ada;11;Cayman Islands;464;6040832540;Guadalajara
Ellette;9;Cameroon;256;6008343252;Guwahati
Wendi;13;Congo;361;1971426315;Oklahoma City
Alejandra;41;Guinea-Bissau;69;0815966487;Reykjavík
Zsa Zsa;48;Macao;168;4409110402;Udon Thani
Nessie;52;Hong Kong;208;7541587322;Kraków
June;28;Falkland Islands (Malvinas);727;5641445537;Moroni
Patricia;27;Malawi;208;4785679895;Amritsar
Madelle;26;Cambodia;887;3532213548;Wichita
Sissy;23;Åland Islands;530;8927619024;Adak
Ethel;43;Taiwan, Province of China;10;5844611051;Johannesburg
Gavrielle;33;Maldives;132;5391277490;Belgrade
Binny;8;Greece;585;7130354008;Yaren District
Charmaine;9;Guinea;669;9127606758;Ouagadougou
Zondra;40;Colombia;498;0102390254;Malacca Town
Kylynn;12;Jamaica;615;6567886797;Melbourne
Starla;56;Maldives;757;8219171355;Curitiba
Priscilla;27;Singapore;540;6355429879;Stockholm
Teriann;23;New Zealand;662;4102649649;Raleigh
Perry;56;San Marino;487;3032863577;Dubai
Britte;32;Viet Nam;672;8950018672;Seoul
Carree;53;Kenya;833;7045682085;Nicosia
Maud;53;Virgin Islands, British;241;6214926567;Harare
Etta;52;Bulgaria;801;6242623940;Kinshasa
Donnie;49;Argentina;811;3371526401;Freetown
Celene;56;Guinea;323;2764858253;Chittagong
Maridel;9;Samoa;996;5013145789;Sukhumi
Dotty;48;Russian Federation;477;8670805164;Shijiazhuang
Phylis;2;Vanuatu;138;6223835996;Shigatse
Audrie;51;Greenland;196;1411909690;Lhasa
Eugine;57;Iran, Islamic Republic Of;872;7682052306;Dodoma
Carol-Jean;52;Liechtenstein;695;6066893395;Cairo
Lorenza;29;Mexico;681;8601270657;Colombo
Catrina;23;Kenya;37;8319312524;Nouméa
Kelly;33;Chad;811;3348087511;Cuiabá
Babita;7;Fiji;943;9265442215;Vitória
Jenda;56;Germany;484;9441651397;Ponta Delgada
